id_,year,month,state,mode,etiology,animal_type
46254,2016,6,South Dakota,Animal Contact,Campylobacter coli,Cattle
46255,2016,6,Ohio,Animal Contact,Campylobacter,Other poultry
46256,2016,4,Multistate,Animal Contact,Campylobacter coli,Baby chick or duckling
46257,2016,7,Ohio,Animal Contact,"Escherichia coli, Shiga toxin-producing",Sheep or goats
46258,2016,8,Oregon,Animal Contact,"Escherichia coli, Shiga toxin-producing",Other (specify)
46259,2016,2,Utah,Animal Contact,Salmonella enterica,Other poultry
46260,2016,4,Pennsylvania,Animal Contact,Campylobacter jejuni,Dog or Puppy
46261,2016,7,Minnesota,Animal Contact,Salmonella enterica,Other reptile; Baby chick or duckling
46262,2016,9,Iowa,Animal Contact,Salmonella enterica; Salmonella enterica; Salmonella enterica,Other (specify)
46263,2015,5,Vermont,Animal Contact,Salmonella enterica,Baby chick or duckling
46264,2015,5,Vermont,Animal Contact,Salmonella enterica,Baby chick or duckling
46265,2016,2,Wisconsin,Animal Contact,Cryptosporidium parvum,Sheep or goats
46266,2016,3,Multistate,Animal Contact,Salmonella enterica,Other poultry
46267,2016,3,Multistate,Animal Contact,Salmonella enterica,Other poultry
46268,2016,2,Multistate,Animal Contact,Salmonella enterica,Other poultry
46269,2016,3,Multistate,Animal Contact,Salmonella enterica,Other poultry
46270,2016,1,Multistate,Animal Contact,Salmonella enterica,Other poultry
46271,2016,3,Multistate,Animal Contact,Salmonella enterica,Other poultry
46272,2016,3,Multistate,Animal Contact,Salmonella enterica,Other poultry
46273,2016,1,Multistate,Animal Contact,Salmonella enterica,Other poultry
46274,2016,10,Tennessee,Animal Contact,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",Sheep or goats; Other poultry; Other (specify)
46275,2016,11,Texas,Animal Contact,Salmonella other,Other poultry
46276,2016,8,Minnesota,Animal Contact,Salmonella enterica,Other poultry
46277,2016,3,Indiana,Animal Contact,Cryptosporidium unknown,Sheep or goats
46278,2016,8,Colorado,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle; Pig; Sheep or goats; Sheep or goats; Other poultry
46279,2016,3,West Virginia,Animal Contact,Salmonella enterica,Other poultry
46280,2016,4,Multistate,Animal Contact,Salmonella enterica,Other poultry
46281,2015,3,Multistate,Animal Contact,Salmonella enterica; Salmonella enterica; Salmonella enterica,Turtle
46282,2016,6,Ohio,Animal Contact,"Escherichia coli, Shiga toxin-producing; Campylobacter jejuni",Cattle; Other poultry
46283,2016,9,Minnesota,Animal Contact,Salmonella enterica; Salmonella enterica,Other small mammalian household pet
46284,2016,6,Michigan,Animal Contact,Salmonella enterica,Other poultry; Baby chick or duckling
46285,2015,2,Multistate,Animal Contact,Salmonella enterica; Salmonella enterica; Salmonella enterica; Salmonella enterica,Turtle
46286,2015,3,Multistate,Animal Contact,Salmonella enterica,Turtle
46287,2017,3,Iowa,Animal Contact,Cryptosporidium,Cattle
46288,2017,4,Utah,Animal Contact,Cryptosporidium unknown,Cattle
46289,2017,3,Michigan,Animal Contact,Cryptosporidium unknown,Cattle
46290,2017,2,Pennsylvania,Animal Contact,Cryptosporidium parvum,Sheep or goats; Other (specify)
46291,2016,4,Idaho,Animal Contact,Campylobacter jejuni; Campylobacter jejuni,Dog or Puppy
46292,2017,3,Ohio,Animal Contact,Cryptosporidium,Sheep or goats
46293,2017,3,New Hampshire,Animal Contact,Cryptosporidium unknown,Cattle
46294,2017,4,Massachusetts,Animal Contact,Salmonella enterica,Other poultry
46295,2017,5,Tennessee,Animal Contact,Salmonella enterica,Baby chick or duckling
46296,2017,3,Illinois,Animal Contact,Cryptosporidium,Sheep or goats
46297,2017,5,New Hampshire,Animal Contact,Cryptosporidium unknown,Cattle
46298,2017,4,West Virginia,Animal Contact,Salmonella enterica,Baby chick or duckling
46299,2016,10,New York,Animal Contact,Salmonella enterica,Lizard
46300,2017,7,Minnesota,Animal Contact,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",Sheep or goats; Other (specify); Sheep or goats
46301,2017,4,Illinois,Animal Contact,Cryptosporidium,Cattle
46302,2017,8,Wisconsin,Animal Contact,Cryptosporidium unknown,Cattle
46303,2017,8,Ohio,Animal Contact,Cryptosporidium parvum,Cattle
46304,2017,8,Wisconsin,Animal Contact,Salmonella enterica,Other (specify)
46305,2017,9,Ohio,Animal Contact,Cryptosporidium,Cattle
46306,2017,8,Nebraska,Animal Contact,Salmonella enterica,Pig
46307,2017,8,Nebraska,Animal Contact,Campylobacter unknown,Other poultry
46308,2017,8,Michigan,Animal Contact,Cryptosporidium unknown,Cattle
46309,2017,5,Utah,Animal Contact,Cryptosporidium unknown,Cattle
46310,2017,3,Montana,Animal Contact,Salmonella enterica,Cattle
46311,2017,6,Multistate,Animal Contact,Salmonella enterica; Salmonella enterica,Other reptile
46312,2017,7,Pennsylvania,Animal Contact,Cryptosporidium parvum,Sheep or goats
46313,2017,3,Nebraska,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle
46314,2017,5,Nebraska,Animal Contact,Cryptosporidium parvum,Cattle
46315,2017,9,Idaho,Animal Contact,Cryptosporidium unknown,Cattle
46316,2017,2,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46317,2017,1,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46318,2017,2,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46319,2017,3,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46320,2017,3,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46321,2017,4,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46322,2017,1,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46323,2017,3,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46324,2017,2,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46325,2017,10,Massachusetts,Animal Contact,Cryptosporidium,Cattle
46326,2017,1,New Hampshire,Animal Contact,Salmonella enterica,Turtle
46327,2013,10,Illinois,Animal Contact,Cryptosporidium,Cattle
46328,2017,3,Maine,Animal Contact,Cryptosporidium parvum,Cattle
46329,2014,11,New Hampshire,Animal Contact,Cryptosporidium unknown,Cattle
46330,2017,3,Multistate,Animal Contact,Salmonella enterica,Turtle
46331,2017,7,Colorado,Animal Contact,"Escherichia coli, Shiga toxin-producing; Escherichia coli, Shiga toxin-producing",Pig; Other (specify); Sheep or goats
46332,2017,11,Idaho,Animal Contact,Campylobacter unknown,Dog or Puppy
46333,2017,2,Multistate,Animal Contact,Salmonella enterica,Baby chick or duckling
46334,2017,11,New Hampshire,Animal Contact,Cryptosporidium unknown,Cattle
46335,2017,8,Idaho,Animal Contact,Salmonella enterica,Cattle
46336,2017,5,Idaho,Animal Contact,"Escherichia coli, Shiga toxin-producing",Cattle
46337,2016,6,Multistate,Animal Contact,Campylobacter jejuni,Dog or Puppy
46338,2017,6,Idaho,Animal Contact,Campylobacter,Baby chick or duckling
46339,2017,5,Idaho,Animal Contact,Campylobacter,Sheep or goats
46340,2015,7,Multistate,Animal Contact,Salmonella enterica,Other small mammalian household pet
